date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error,displayed_price_text,regular_price_text,regular_price_unit
2026-09-20,apples,Metro Canada,"Apple, Empire",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4124,Sold individually,,,0.93,$5.49 / kg $2.49 / lb.,5.49,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.549,,,$0.93 avg. ea.,,
2026-09-20,apples,Metro Canada,"Apple, Mutsu",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4108,Sold individually,,,1.1,$5.49 / kg $2.49 / lb.,5.49,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.549,,,$1.10 avg. ea.,,
2026-09-20,apples,Metro Canada,"Apple, Pink Cripps",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4128,,,,1.29,$6.59 / kg $2.99 / lb.,6.59,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.6589999999999999,,,$1.29 avg. ea.,,
2026-09-20,apples,Metro Canada,"Apple, Red Delicious",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4015,Sold individually,,,1.25,$6.59 / kg $2.99 / lb.,6.59,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.6589999999999999,,,$1.25 avg. ea.,,
2026-09-20,bananas,Metro Canada,Organic Banana,https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/bananas-plantains/organic-banana/p/94011,,,,0.5,$2.62 / kg $1.19 / lb.,2.62,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,organic,100g,0.262,,,$0.50 avg. ea.,,
2026-09-20,bananas,Metro Canada,Miniature banana,https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/bananas-plantains/miniature-banana/p/4234,Sold individually,,,0.28,$5.05 / kg $2.29 / lb.,5.05,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.505,,,$0.28 avg. ea.,,
2026-09-20,bananas,Metro Canada,Frozen Strawberries and Bananas,https://www.metro.ca/en/online-grocery/aisles/frozen/fruit-vegetables/fruit/frozen-strawberries-and-bananas/p/059749983983,600 g,600.0,g,5.99,$1.00 /100 g,1.0,100g,False,sale,5.99,6.49,,,,unknown,unknown,unsupported,unknown,,100g,0.9983333333333334,,,$5.99 ea.,Regular price $6.49 ea.,
2026-09-20,bananas,Metro Canada,2% Banana Greek Yogurt,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/yogurt/greek-yogurts/2-banana-greek-yogurt/p/056800186246,4x100 g,400.0,g,,$0.92 /100 g,0.92,100g,False,multi-buy,3.66,,3.0,3.66,,unknown,unknown,unsupported,unknown,,100g,,,Multi-buy listing has no explicit single-item price; unconditional price cannot be normalized.,3 / $10.98,,
2026-09-20,bananas,Metro Canada,Thai Banana,https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/vegetables/exotic-vegetables/thai-banana/p/4238,,,,3.73,$3.73 / kg $1.69 / lb.,3.73,kg,True,,,,,,,produce,bananas,fresh_bananas,loose,,100g,0.373,,,$3.73 avg. ea.,,
2026-09-20,bananas,Metro Canada,2% Banana Skyr Yogurt,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/yogurt/yogurt-tubs/2-banana-skyr-yogurt/p/068200325026,650 g,650.0,g,6.49,$1.00 /100 g,1.0,100g,False,sale,6.49,8.99,,,,unknown,unknown,unsupported,unknown,,100g,0.9984615384615385,,,$6.49 ea.,Regular price $8.99 ea.,
